,brand,jenis
3058,TEBUCOZ 430 SC,Fungisida
3059,ZIPUT 15 PL,Moluskisida
3060,ROTEEN 75 SP,Insektisida
3061,BESTCRON 500 EC,Insektisida
3062,PRIMAJOS 865 SL,Herbisida
3063,HELMET 20 WG,Herbisida
3064,FOKKER 500 EC,Insektisida
3065,CEVIDA 25/50 WP,Insektisida
3066,PHYMAR C 67 SL,Fungisida
3067,RENNATE 40 WP,Insektisida
3068,CENTAFUR 3 GR,Insektisida
3069,ASTERPOIN,Fungisida
3070,Meperfluthrin 5 TC,Insektisida
3071,LARVIRON 100/20 ZC,Insektisida
3072,PRIMAMECT 200 SC,Insektisida
3073,PROSID 25 WP,Insektisida
3074,SUMIMAX 50 WP,Herbisida
3075,HIT 1.41 AE,Pestisida Rumah Tangga
3076,BARNCANE 75 WG,Herbisida
3077,ACTICIDE ® BAC 50,Bakterisida
3078,KOHINOR 200 SL,Insektisida
3079,LAVOLTA 200/125 SC,Fungisida
3080,ANVIL 50 SC,Fungisida
3081,BM CYPERKIL 50 EC,Insektisida
3082,GMAX 18 EC,Insektisida
3083,TALIS 10 WP,Herbisida
3084,RAINBOW 410 SE,Herbisida
3085,MEC-ZUR 150 EC,Insektisida
3086,"MAXLO 17,5 WP",Zat Pengatur Tumbuh Tanaman
3087,DETONATOR 20 WP,Insektisida
3088,MESOTA 80 WG,Herbisida
3089,SIDARON 80 WP,Herbisida
3090,ACTICIDE OTW 8,Bakterisida
3091,QUINTECT 105 SC,Fungisida
3092,RAINFOS 550 EC ,Insektisida
3093,REVANZA 60 SP,Herbisida
3094,PROMOBAS 500 EC,Insektisida
3095,VENTRA 75 WP,Fungisida
3096,Conasol 50 SC,Fungisida
3097,ENKASUL 150 SL,Herbisida
3098,PLUSH 60 WP ,Insektisida
3099, KAKUTE 60 SP,Insektisida
3100,GUSANO 300 EC,Insektisida
3101,SIDAZEB 80 WP,Fungisida
3102,PROQUAT 276 SL,Herbisida
3103,HERLING 150 SL,Herbisida
3104,INDODINE 6 GR,Insektisida
3105,ONE PUSH VAPE 61.74 AL,Pestisida Rumah Tangga
3106,BESTBLUE 80 WP,Fungisida
3107,METABEN 20 WG,Herbisida
3108,Glifomin 300/100 SL,Herbisida
3109,PONCHO 600 FS,Insektisida
3110,GLUFO 150 SL,Herbisida
3111,CLEANER 250 SL,Herbisida
3112,MASTER 200 SL,Herbisida
3113,BUZZ-UP 480 SL,Herbisida
3114,Roundup Powermax 660 SL,Herbisida
3115,VAPE 33.5 VP,Pestisida Rumah Tangga
3116,BENTENG 250 SC,Bakterisida
3117,AGROTECH 722 SL ,Fungisida
3118,GLYPHOSATE 95 TC,Herbisida
3119,ROLIZOL 250 EC,Fungisida
3120,CONVEY COMPLETE 310 SC,Herbisida
3121,ARCODION 200 EC,Insektisida
3122,SOLFAC 10 WP,Pestisida Pengendalian Vektor Penyakit Pada Manusia
3123,SINASEN 300 SC,Bakterisida
3124,PORDIE-6 865 SL,Herbisida
3125,LOGIC 70 WP,Fungisida
3126,RHINOMAS L.,Atraktan / Feromon
3127,RAKSAMAX 600 OS,Fungisida
3128,ALASKA 18 EC,Insektisida
3129,BROADPLUS 10/10 WP,Insektisida
3130,ROLIKUM 0.005 BB ,Rodentisida
3131,HEMAT 555 SL,Herbisida
3132,RINJANI 490 SL,Herbisida
3133,INLOV 40 SP,Insektisida
3134,TAMULDOK 25 EC,Insektisida
3135,HIT 1.76 AL (WB),Pestisida Rumah Tangga
3136,GRAXONE 278 SL*,Herbisida
3137,OPTIMUS 77 SL,Herbisida
3138,HYPOMAX 550 SL,Insektisida
3139,SAPU BERSIH 530 SL,Herbisida
3140,PILARCOVER 286/32 CS,Herbisida
3141,SAGRI-M7 100/150 EC,Insektisida
3142,PARAKUAT DIKLORIDA 42 TC,Herbisida
3143,CALLICRON 500 EC,Insektisida
3144,NILL 70 WP ,Moluskisida
3145,FURY 50 EC,Insektisida
3146,VAPE 0.03 MC,Insektisida
3147,THURICIDE 25 EC,Insektisida
3148,TRICLOPYR BUTOTYL 95 TC,Herbisida
3149,"ROLIKUM 0,005 BB ",Rodentisida
3150,DRY UP 480 SL,Herbisida
3151,INDOMEC 20 EC,Insektisida
3152,RAINBAS 160/50 SL,Herbisida
3153,CHLORBAN 480 EC,Insektisida
3154,Zinc Omadine ZOE Dispersion,Pestisida lain-lain
3155,MOSNON TB,Pestisida Rumah Tangga
3156,FORCE ONE 75/2 WP,Insektisida
3157,SIVANTO PRIME 200 SL,Insektisida
3158,NOMOS MAGIC 0.5MV,Pestisida Rumah Tangga
3159,PACE 420 SC,Insektisida
3160,NUPRID 600 FS,Insektisida
3161,GLUMARIN 175 SL,Herbisida
3162,BESTINDO 45 WP,Insektisida
3163,MOKSANIL 50 WP,Fungisida
3164,BLUETAN 60 WP,Moluskisida
3165,DANVIL 50 SC,Fungisida
3166,GLYPHOSATE 95 TC,Herbisida
3167,ABAMECTIN 95 TC,Insektisida
3168,ONE PUSH VAPE 7.1 AE,Pestisida Rumah Tangga
3169,ROLIXONE 276 SL*,Herbisida
3170,CHLORPYRIFOS 97 TC,Insektisida
3171,"KINGKONG 0,6 MC",Pestisida Rumah Tangga
3172,POLADO 240/105 SL,Herbisida
3173,MITSUFURON 20 WG,Herbisida
3174,R-Xone 80 WP,Herbisida
3175,QUATXONE 150 SL,Herbisida
3176,HIT 8.09 LV,Pestisida Rumah Tangga
3177,PRIMA-QUICK 36/6 WP,Herbisida
3178,SOREXIN 100 SC,Herbisida
3179,PROVEN 80 WP,Fungisida
3180,NYEKOR 250 EC,Fungisida
3181,GENITOP 138 SL*,Herbisida
3182,ACTICIDE MKW4,Fungisida
3183,BENTIN 10 WP,Insektisida
3184,SAPURATA 480 SL,Herbisida
3185,Livful,Pestisida Rumah Tangga
3186,TETRAMYCIN 85 SP,Insektisida
3187,CAPTURE 100 EC,Insektisida
3188,HIT 0.05 MC,Pestisida Rumah Tangga
3189,PROPEL 276 SL*,Herbisida
3190,LIBERTY 80 WP ,Fungisida
3191,Goldensnail 6 PL,Moluskisida
3192,DAFAT 75 SP,Insektisida
3193,QAISHAR 10 WP,Insektisida
3194,MUSUHAMA 500 EC ,Insektisida
3195,CHEPATE 75 SP,Insektisida
3196,CP 150 PA,Zat Pengatur Tumbuh Tanaman
3197,BAKOMOS 240 SC,Insektisida
3198,PROXEL MB,Pestisida lain-lain
3199,SELEDOL 450 EC,Insektisida
3200,AUTAN 140 AL,Repelen
3201,K-COZIM 70/5 WP,Fungisida
3202,SIDAFOS 480 SL,Herbisida
3203,GIBGRO 10 SP,Zat Pengatur Tumbuh Tanaman
3204,HIPPO 400 SL,Insektisida
3205,TRIFASTA 75 WP,Fungisida
3206,BAGUS 0.6 ST,Pestisida Rumah Tangga
3207,FUTRICHO,Fungisida
3208,ASTERBLUE 80 WP,Fungisida
3209,AMETREX 80 WP,Herbisida
3210,GROUNDUP EVO 490 SL,Herbisida
3211,LUMIVIA B 625 FS,Insektisida
3212,AGNI 865 SL,Herbisida
3213,KENCIS 100 EC,Insektisida
3214,CENTAMEC 36 EC,Insektisida
3215,SPARTAN 400 SL,Insektisida
3216,UTAMA 250 EC,Fungisida
3217,DKPROTIO MIX 390 SC,Fungisida
3218,KOPTAN,Atraktan / Feromon
3219,SPORA 600 SL,Insektisida
3220,CEBA 125 EC,Insektisida
3221,HERLING 150 SL,Herbisida
3222,GISENTRO 560 SC,Herbisida
3223,SEVIN 85 SP ,Insektisida
3224,STARMETRIN 100 EC,Insektisida
3225,KEONGIN 65 WP,Moluskisida
3226,ML-THION 95 TC,Insektisida
3227,BESTHOMYL 40 SP,Insektisida
3228,Glifosat 95% ,Herbisida
3229,LEOPARD 75 SP ,Insektisida
3230,KLORONIL 75 WP,Fungisida
3231,"PHYTOKLOR 82,5 WG",Fungisida
3232,OLYSET PLUS 2 LN,Pestisida Pengendalian Vektor Penyakit Pada Manusia
3233,KAPUAS 560 SC,Fungisida
3234,REGIMENT 480 SL,Herbisida
3235,MICROCARE MT,Bakterisida
3236,BIONASA 75 WG,Herbisida
3237,GOLDER 865 SL,Herbisida
3238,CLINSOR 180 EC,Herbisida
3239,ENKASUL 150 SL,Herbisida
3240,KLOROTALONIL 98 TC,Fungisida
3241,ONE PUSH VAPE 1.5 AE,Pestisida Rumah Tangga
3242,KILAU 36 WP,Herbisida
3243,SAGRI-ZONE 450 SC,Fungisida
3244,BAS-6 865 SL,Herbisida
3245,GOQUAT 140 SL*,Herbisida
3246,"ORY LURE 0,0005 SL",Atraktan / Feromon
3247,FENVAL 200 EC,Insektisida
3248,SIGPLUS 276 SL*,Herbisida
3249,MIRACLE 25 WP,Insektisida
3250,OMNITOP 276 SL,Herbisida
3251,SENTRAL 11 PA,Zat Pengatur Tumbuh Tanaman
3252,BIGSON 207 SL,Herbisida
3253,AMCORON 80 WP,Herbisida
3254,MACOBAN 80 WP,Fungisida
3255,INDOMORF 50 WP,Fungisida
3256,GOLDEN 200 SL,Insektisida
3257,SLASH 480 SL,Herbisida
3258,SUMIONE 5 TK,Insektisida
3259,VAPE 0.172 AE,Pestisida Rumah Tangga
3260,TRITHAC 350 EC,Herbisida
3261,BIGQUAT 276 SL,Herbisida
3262,V-PRO 50 EC,Insektisida
3263,DOWICIL™ QK-20 Antimicrobial,Pestisida lain-lain
3264,KOEEN UP 490 SL,Herbisida
3265,HIT 1 STICK FU,Pestisida Rumah Tangga
3266,ITTOKU 73 WP,Fungisida
3267,GG 8.5 SL,Zat Pengatur Tumbuh Tanaman
3268,NEOLONE™ M-10 Industrial Microbiocide,Pestisida lain-lain
3269,DELAMIX 300 EC,Fungisida
3270,KIMIRU 45 WP,Herbisida
3271,GLUFOSSIN 220 SL,Herbisida
3272,HIT MAGIC 0.4 FU,Pestisida Rumah Tangga
3273,CLINSOR 180 EC,Herbisida
3274,CARBOFURAN 98 TC,Insektisida
3275,AMUNISI 100 EC,Insektisida
3276,METAPRIMA 20 WG,Herbisida
3277,BPMC 96 TC,Insektisida
3278,EXPERTO 300 SC,Insektisida
3279,METSY 20 WG,Herbisida
3280,PUNTO 200 SL,Insektisida
3281,AGRITHANE 80 WP,Fungisida
3282,Omacide 30 IPBC,Fungisida
3283,DELADAXIN 140 SC,Insektisida
3284,VAPE 12.21 LV,Pestisida Rumah Tangga
3285,VIGOR 100 EC,Insektisida
3286,Galelo 200 SL,Herbisida
3287,GETAH 10 PA,Zat Pengatur Tumbuh Tanaman
3288,BM ZEBCO 80 WP,Fungisida
3289,PYRATOP 481 SL,Herbisida
3290,CIELO 50 EC,Insektisida
3291,"GOMOS 0,55 K",Pestisida Pengendalian Vektor Penyakit Pada Manusia
3292,Emma 22 EC,Insektisida
3293,Sagri-Pure 400/200 EC,Insektisida
3294,PEXALON 106 SC,Insektisida
3295,VAPE 0.032 MC,Pestisida Rumah Tangga
3296,PRALLE 50 TK,Insektisida
3297,BIOMAC 10 WP,Pestisida Pengendalian Vektor Penyakit Pada Manusia
3298,PROMIDA 55 WP,Insektisida
3299,E-TOBAN 500/50 EC,Insektisida
3300,YOKOZUNA 210 SC,Fungisida
3301,NAVARON 80 WP,Herbisida
3302,SIRIUS 150 SL,Insektisida
3303,FIDARID 200 SL,Insektisida
3304,BONA 500 EC,Insektisida
3305,ACEP 722 SL,Fungisida
3306,BM PROMAX 75 SP,Insektisida
3307,SUPRA 615 SL,Herbisida
3308,Homeguard 250 EW,Bahan pengawet kayu
3309,TRIESTER 480 EC,Herbisida
3310,ARGA 400 SC,Fungisida
3311,NOMITE 140 EC,Akarisida
3312,HIT MAGIC 0.10 FU,Pestisida Rumah Tangga
3313,PREZA100 OD,Insektisida
3314,FIPKILL 50 SC,Insektisida
3315,BM MONAZ 400/70 OL,Fungisida
3316,GELIAT 486 SL,Herbisida
3317,BAKOPRID 200 SL,Insektisida
3318,PRONTO 500/50 EC,Insektisida
3319,"PRIMA-BAIT 0,005 BB",Rodentisida
3320,PRIMA-BLAS 125/400 SE,Fungisida
3321,BIOBAN™ BP-30 Preservative,Pestisida lain-lain
3322,OXAMYL 5 GR,Insektisida
3323,LARVIXX 138 SL,Herbisida
3324,ZEBRA 0.6 MC,Pestisida Rumah Tangga
3325,PROFENOFOS 90 TC,Insektisida
3326,ETHREL 480 SL,Zat Pengatur Tumbuh Tanaman
3327,HIT 1.18 AL (WB),Pestisida Rumah Tangga
3328,SANTAFURON 20 WG,Herbisida
3329,BM TOPLAZ 70 WP,Fungisida
3330,ZYCHATE 25 WP,Insektisida
3331,VAPE 12.21 LV,Pestisida Rumah Tangga
3332,HELLIOPHOS 56 TB*,Fumigan
3333,BM EMATEZ 19 EC,Insektisida
3334,"NEWTEX 2,5 PA",Zat Pengatur Tumbuh Tanaman
3335,LUDION 250 SC,Fungisida
3336,BIOBAC WP,Fungisida
3337,ASTERZEB 80 WP,Fungisida
3338,GLYPHOSATE 95 TC,Herbisida
3339,Eksaup 48,Herbisida
3340,BANG 240 SL,Herbisida
3341,Bernice SL,Fungisida
3342,EMACEL 30 EC,Insektisida
3343,DIVINO 250 EC,Fungisida
3344,BASMIRATA 15 WP,Herbisida
3345,SPHINX 500 SC,Fungisida
3346,RAYDENT 200 EC,Insektisida
3347,SENTRI 20 EW,Pestisida Pengendalian Vektor Penyakit Pada Manusia
3348,PRIMA-TRON 135 SL,Herbisida
3349,EUSTACIA 590 EC,Herbisida
3350,CONFIDOR 200 SL,Insektisida
3351,METSULFURON METHYL 95 TC,Herbisida
3352,DINOSHEEN 20 SG,Insektisida
3353,SOREXIN 100 SC,Herbisida
3354,PRIMA-BLAS 125/400 SE,Fungisida
3355,STARMYL 25 WP,Fungisida
3356,PROMEFON 250 EC,Fungisida
3357,CENTAFAT 80 SP,Insektisida
3358,CATAPULT 50 EC,Insektisida
3359,MESOTA 80 WG,Herbisida
3360,OMI 150 EC,Insektisida
3361,DKFenrat 200 EC,Insektisida
3362,GOAL 240 EC,Herbisida
3363,AFILA 400/125 SE,Fungisida
3364,BOLOGNA 350 EC,Insektisida
3365,Zorvec Entecta 48/240 SE,Fungisida
3366,DIVAXONE 243 SL,Herbisida
3367,BIGTOX 0.25 MC,Pestisida Rumah Tangga
3368,MAGNUM 40 SP,Insektisida
3369,FURAMYL 3 GR,Insektisida
3370,ROCK UP 480 SL,Herbisida
3371,SINOMIN 865 SL,Herbisida
3372,FLUDORA CO-MAX 26.3/52.5 EW,Pestisida Pengendalian Vektor Penyakit Pada Manusia
3373,MERIVON 250/250 SC,Fungisida
3374,Imiprothrin 50 TC ,Insektisida
3375,CLEANSPRAY 96 SG,Herbisida
3376,BUFOS 150 SL,Herbisida
3377,ABOLISI 865 SL,Herbisida
3378,SERUNI 100 EC,Pestisida Pengendalian Vektor Penyakit Pada Manusia
3379,CENTALON 480 EC,Herbisida
3380,PARA SPECIAL 250 SL*,Herbisida
3381,BM CONZOLE 250 EC,Fungisida
3382,GLYPHOSATE 95 TC,Herbisida
3383,LANTERN 270/120 SL,Herbisida
3384,KINGKONG 26 LV,Pestisida Rumah Tangga
3385,PRIMA-BOMB 606 EC,Insektisida
3386,RIMON FAST 100 SC,Insektisida
3387,JOFAT 75 SP,Insektisida
3388,GEMPUR 480 SL,Herbisida
3389,SAMBAS 700 EC,Insektisida
3390,PACLOBUTRAZOL 95 TC,Zat Pengatur Tumbuh Tanaman
3391,HIT 66.667 MV,Pestisida Rumah Tangga
3392,"BLITZ 1,2 AE",Pestisida Rumah Tangga
3393,EKSTRAKLIN 276 SL,Herbisida
3394,BENSTAR 50 WP,Fungisida
3395,TIAMETOKSAM 97 TC,Insektisida
3396,LOEDESS 0.005 BB ,Rodentisida
3397,Proxel 108 Preservative,Pestisida lain-lain
3398,ABUKI 50 SL,Insektisida
3399,TRIAZOPHOS 85 TC,Insektisida
3400,YUDA 50 EC,Insektisida
3401,HOKITAN 500 SL,Insektisida
3402,INCIPIO 200 SC,Insektisida
3403,SETTING 126 SL,Herbisida
3404,SPREADOUT 607 SL,Herbisida
3405,MR QUAT 282 SL*,Herbisida
3406,BAGUS 0.6 ST,Pestisida Rumah Tangga
3407,MECKING 36 EC,Insektisida
3408,Imidacloprid 95 TC,Insektisida
3409,SENATE 200 SL,Herbisida
3410,CHLOROTHALONIL 98 TC,Fungisida
3411,ONE PUSH VAPE 21.3 AE,Pestisida Rumah Tangga
3412,CHLORPYRIFOS 97 TC,Insektisida
3413,STARJOS 125 EW,Herbisida
3414,DEMAND 100 CS,Insektisida
3415,OXAR 100/50 SC,Insektisida
3416,TRIDATRIN 250 EC,Insektisida
3417,HIT EXPERT 0.23 AE,Pestisida Rumah Tangga
3418,METAZEB 80 WP,Fungisida
3419,TALIS 10 WP,Herbisida
3420,GALAMIN 865 SL ,Herbisida
3421,ELICOR 50 SC,Insektisida
3422,METRA UP 480 SL,Herbisida
3423,SIPERMETRIN 94 TC,Insektisida
3424,Soffell 130 SL,Repelen
3425,HELLIOPHOS 56 TB*,Fumigan
3426,KISAN 10 WP,Herbisida
3427,TRANSFLUTHRIN 92 TC,Insektisida
3428,FLUDORA FUSION 56.25 WP,Pestisida Pengendalian Vektor Penyakit Pada Manusia
3429,FILIA 525 SE,Fungisida
3430,REFILLUP 130 SL,Herbisida
3431,FUMAKILLA 0.3 MC,Pestisida Rumah Tangga
3432,HOPTARA 500 EC,Insektisida
3433,CULTAR 250 SC,Zat Pengatur Tumbuh Tanaman
3434,AMOTAN 250 SC,Fungisida
3435,MAYORAL 350 SL,Herbisida
3436,REMAZOLE 250 EC,Fungisida
3437,DESTAR 50 SC,Insektisida
3438,SYSCON 64/8 WP,Fungisida
3439,AMETOX 500 SC,Herbisida
3440,APOLLO 500 SC,Akarisida
3441,ANTAS 400/60 SL,Herbisida
3442,TEMEPHOS 92.5 TC,Insektisida
3443,NARCIM 80 WP,Fungisida
3444,PRIMA-ZOL PLUS 100/200 SC,Fungisida
3445,FORCE 20/100 SC,Insektisida
3446,TOXEDOWN 150 EC,Insektisida
3447,BONSA 40 SP,Insektisida
3448,NUGRASS 69 EC,Herbisida
3449,K-CELMEC 18 EC,Insektisida
3450,BARESTAN 60 WP,Moluskisida
3451,AMUNISI 100 EC,Insektisida
3452,BESTCOR 80 WP,Herbisida
3453,SOLITAIRE 200 SL,Herbisida
3454,BIGALON 680 EC,Herbisida
3455,TAMPAGE 100,Insektisida
3456,LANIDOR 200 SL,Insektisida
3457,METOKING 40 SP,Insektisida
3458,PROCURE 20 WP,Fungisida
3459,MILAN 10/5 WP,Insektisida
3460,FILIMAX 650 SC,Fungisida
3461,APURI 50 WP,Herbisida
3462,ROZONE™ LES 1920J Microbicide ,Pestisida lain-lain
3463,PROMOTE 500 SL,Herbisida
3464,RATCELL 80 P,Rodentisida
3465,EMARTY 550 SC,Herbisida
3466,PILARTEP 115/230 SC,Fungisida
3467,FLYTOX 10 WG,Insektisida
3468,REJOSOGOLD 400/30 SC,Insektisida
3469,SANVAL 200 EC,Insektisida
3470,Dicamba 98 TC,Herbisida
3471,MARSHAL 5 GR,Insektisida
3472,BOSHEP 150/60 SC,Insektisida
3473,ROLTAP 450 SL ,Insektisida
3474,PRIMA-CLINK 100/200 SC,Fungisida
3475,RADIANT 200 EC,Insektisida
3476,HIT 7.5 LV,Pestisida Rumah Tangga
3477,STAMYCIN 20 WP,Bakterisida
3478,DROPPING 121 SL,Herbisida
3479,GOKILL 240 EC,Herbisida
3480,HIT EXPERT 6.48 LV,Pestisida Rumah Tangga
3481,INZTAN 360/40 EC,Insektisida
3482,DALOPIR 480 EC,Herbisida
3483,METSULFURON METHYL 95 TC,Herbisida
3484,CEVIDA 25/50 WP,Insektisida
3485,ACEPHATE 97 TC,Insektisida
3486,EMPIRIZ 550 SC,Insektisida
3487,MARBOFID 2 WP,Insektisida
3488,SHENZI 35 WG,Insektisida
3489,AMCOTHENE 75 SP,Insektisida
3490,Zinc Omadine 48% FPS,Pestisida lain-lain
3491,KILAU 36 WP,Herbisida
3492,DKLIFOSAT 480 SL,Herbisida
3493,SINAR-METHRIN 200 EC,Insektisida
3494,NEWTEX 10 PA,Zat Pengatur Tumbuh Tanaman
3495,Glyphosate 95% TC,Herbisida
3496,Dinotefuran 92 TC,Pestisida lain-lain
3497,FRA-RED 250 EC,Insektisida
3498,INDOKOR 250 EC,Fungisida
3499,E-CYDIMAN 68 WP,Insektisida
3500,SUMO 50 EC,Insektisida
3501,MERIT 250 CS,Insektisida
3502,Intercide DBF 10 DOTP,Fungisida
3503,GRANATE 44 WP,Insektisida
3504,COKRO 30 EC,Insektisida
3505,PRIMA-FAST 50 EC,Insektisida
3506,TYPHOSAT 485 SL,Herbisida
3507,PRIMABEST 150 SL,Herbisida
3508,IPA GLIFOSATE 95 TC,Herbisida
3509,Ventrex 250 EC,Fungisida
3510,RACUMIN WAXBLOCK 0.0375 BB,Rodentisida
3511,NOMINEE 103 OF,Herbisida
3512,METINDO 80 SL,Insektisida
3513,RABAN 80 WP,Fungisida
3514,ERKAREN 290 EC,Herbisida
3515,MALAKSIL 70 WP,Fungisida
3516,GENERA 300/100 SC,Fungisida
3517,Wendry 75 WP,Fungisida
3518,DKMESONIN 550 SC,Herbisida
3519,HIT ONE PUSH 8.5 AE,Pestisida Rumah Tangga
3520,ALFAMEX 18 EC,Insektisida
3521,JENGGOTE 75 WP,Fungisida
3522,TOBI - T 85 WP,Moluskisida
3523,PRIMA-NOID 60 WP,Moluskisida
3524,Beta Cyfluthrin 95 TC,Insektisida
3525,SABLE PLUS 120 EW,Herbisida
3526,NAVOX 60 EC,Insektisida
3527,KNOCK DOWN 865 SL,Herbisida
3528,VALETUDO 300 EC,Insektisida
3529,STARQUAT 135 SL,Herbisida
3530,INVERO 400 SL,Insektisida
3531,PILARMD 250 SC,Insektisida
3532,Calaris 550 SC,Herbisida
3533,PANCEN OYE 18 EC,Insektisida
3534,RIOSOL 250 EC,Fungisida
3535,KRESPHO 54 TC,Pestisida lain-lain
3536,KILLMOS 80 P*,Rodentisida
3537,TRICLOPYR 98 TC,Herbisida
3538,TIRAMO 80 WP,Fungisida
3539,"NEW RONDA PLUS 370/5,5 SL",Herbisida
3540,LUGEN 100 EC,Insektisida
3541,SKIN VAPE 200 AL,Repelen
3542,APPLAUD 100 EC,Insektisida
3543,X-TRA NIL 75 WP,Fungisida
3544,LIMADUALIMA 525 SL,Herbisida
3545,"STARKUM 0,005 BB",Rodentisida
3546,SAGRI-SHIELD 20/20 WP,Fungisida
3547,AMETRYN 95 TC,Herbisida
3548,INVERO 400 SL,Insektisida
3549,DUSTER 200 SC,Fungisida
3550,STRONG UP 588 SL ,Herbisida
3551,BIOVAR P,Insektisida
3552,METOMIL 98 TC,Insektisida
3553,PARAVIN 85 SP,Insektisida
3554,BENCORE 250 EC,Fungisida
3555,BASFONATE 200 SL,Herbisida
3556,AMSIONG 276 SL*,Herbisida
3557,EXPERTO 300 SC,Insektisida
3558,SINERGY 300 EC,Fungisida
3559,PROGO 490 EC,Fungisida
3560,ZORO 5 GR,Insektisida
3561,BASWEED 400 SC,Herbisida
3562,IMIDACLOPRID 95 TC,Insektisida
3563,DECOPRIMA WP,Fungisida
3564,TANI STRONG 165 SL,Herbisida
3565,CULTIVAR 250 SC,Zat Pengatur Tumbuh Tanaman
3566,DONKEY 25 WP,Insektisida
3567,LAMPION 25 EC,Insektisida
3568,RING UP 480 SL,Herbisida
3569,BESCLOFIR 450 SC,Insektisida
3570,GLYPHOSATE ACID 95 TC,Herbisida
3571,ACL 6 865 SL,Herbisida
3572,RUMTOX 45 WP,Herbisida
3573, K-OTHRINE 25 EC,Pestisida Pengendalian Vektor Penyakit Pada Manusia
3574,PRIMA-BLACK 80 P,Rodentisida
3575,JAMURE 60 WP,Fungisida
3576,WEEDROL 866 SL,Herbisida
3577,KEYROLE 50 WG,Insektisida
3578,SOFFELL SNOW 13 LT,Repelen
3579,OXAMYL 240 SL,Insektisida
3580,BM PROPERTHRIN 440 EC,Insektisida
3581,VECTRAL 200 SL,Herbisida
3582,HASTA-88 150 SL,Herbisida
3583,Prolatex 100 PA,Zat Pengatur Tumbuh Tanaman
3584,SUPICARB 62.5/625 SC,Fungisida
3585,CHAMPION 77 WP,Fungisida
3586,CRUCIAL 700 SL,Herbisida
3587,FENOMIN 865 SL,Herbisida
3588,OPTIGARD COCKROACH 0.1 RB,Pestisida Rumah Tangga
3589,KLOPER 500 SL,Insektisida
3590,REXRON 80 WP,Herbisida
3591,FERANCHER 100 EC,Herbisida
3592,NOWEED 400 OF,Herbisida
3593,GOLMA 240 EC,Akarisida
3594,VAPE 0.031 MC,Pestisida Rumah Tangga
3595,SALVADOR 25 EC,Insektisida
3596,GLUFOSINATE AMMONIUM 95 TC,Herbisida
3597,THIRAM 95 TC,Fungisida
3598,SAGRI-FLAZZ 20/100 EC,Insektisida
3599,LARISMA 200 EC,Insektisida
3600,VAPE LIQUID REFILL 20 LV,Pestisida Rumah Tangga
3601,MATAMA 100 EC,Pestisida Pengendalian Vektor Penyakit Pada Manusia
3602,Lambeta 100EC,Insektisida
3603,MONOSULTAP 95 TC,Insektisida
3604,MORELA 730 SL,Fungisida
3605,KYPTON  400 SC ,Herbisida
3606,AAA,Akarisida
3607,ACEPHATE 97 TC,Insektisida
3608,PROTHOL 10 EC,Insektisida
3609,INNOMAN ® MB,Bakterisida
3610,HYVAR 80 WP,Herbisida
3611,XENTARI WG,Insektisida
3612,ATRIUM  550 SC,Herbisida
3613,"KINGKONG 0,3 MC",Pestisida Rumah Tangga
3614,RONDA GOLD 525 SL,Herbisida
3615,KOMBO 180 EC,Fungisida
3616,QUINXONE 300 SL ,Herbisida
3617,FOSSIN PLUS 240 SL,Herbisida
3618,OMNI-GUARD 670 EC,Herbisida
3619,ALFA 30 EC,Pestisida Pengendalian Vektor Penyakit Pada Manusia
3620,PROPAR 50 EC,Insektisida
3621,AGMECTIN 20 EC,Insektisida
3622,SERCADIS PLUS 125 SC,Fungisida
3623,BM MONAZ 400/70 OL,Fungisida
3624,VENTURA 3 GR,Insektisida
3625,HIT 61.54 MV,Pestisida Rumah Tangga
3626,OBSESSI 400 SL,Insektisida
3627,VINDRA 425 SC,Fungisida
3628,DIVAXONE 138 SL,Herbisida
3629,AKSIGUA 50 ME,Insektisida
3630,AMFONIL 75 WP,Fungisida
3631,BMA 8 865 SL,Herbisida
3632,IMIPROTHRIN 50 TC,Insektisida
3633,PARADIGM 276 SL,Herbisida
3634,FUATRIN 350 EC,Insektisida
3635,ODEON 720 SC,Fungisida
3636,DIGITA 150 SL,Herbisida
3637,RIDOMIL GOLD 350 ES,Fungisida
3638,GOTIK 30 EC,Insektisida
3639,SALVATORE 12/18 WP,Herbisida
3640,GREATUP 480 SL,Herbisida
3641,"KINGKONG 0,078 MC",Pestisida Rumah Tangga
3642,PROSEFAT 77 SP,Insektisida
3643,CHLORFENAPYR 98 TC,Insektisida
3644,BRANTALANG PLUS 300/100 SL,Herbisida
3645,MANCO 80 WP,Fungisida
3646,STARPYR 500 SC,Insektisida
3647,VIGOLD-T 480 SC,Fungisida
3648,SIODAN 20 WP,Fungisida
3649,CYPERMETHRIN 92 TC ,Insektisida
3650,TRIDALLY 24 WG,Herbisida
3651,RUDOR 200 SL,Insektisida
3652,VALETUDO 300 EC,Insektisida
3653,HASTA-88 150 SL,Herbisida
3654,TREBAZ 70 WP,Moluskisida
3655,FREQUENCY PLUS 60 SE,Herbisida
3656,UNIMIN 720 SL,Herbisida
3657,ASSOCIATE 200 SC,Insektisida
3658,TIVOLI 45 SP,Insektisida
3659,OMNI-FUR 3 GR,Insektisida
3660,BENSON 10 WP,Herbisida
3661,TRIMECAB 40/160 OD,Insektisida
3662,AGRINEEM 0.03 EC,Insektisida
3663,MEYER 50 DC,Insektisida
